title,description,purpose,overview,includes1,includes2,includes3,includes4,includes5,form1,form2,form3
舉辦成功的活動,本單元設計是提供您統籌舉辦活動的工具。其中包括因應未預期局面、領導團隊及達成正面結果等的步驟。,：本單元目的是練習規劃、組織、領導與舉辦活動。,：規劃、合作舉辦並完成所選活動。本單元包括與規劃活動所有層面有關的工具。完成活動後，在您的分會發表一篇 5 ~ 7 分鐘的演講。分享規劃過程、您的團隊及活動舉辦組織的影響。您可在演講中展現幽默、提供資訊，或以任何您喜愛的方式發表。,：,◎ 規劃、組織及舉辦所選活動,◎ 活動規劃工作表,◎ 「撰寫溝通計畫」參考資源,◎ 發表一篇 5 ~ 7 分鐘的演講,https://ckc300.neocities.org/E/8507.pdf,,
團隊營造,本單元談論團隊營造的益處。內容設計是在協助您在完成專案的過程中，於團隊內部營造合作與信任的氛圍。,：本單元目的是練習營造具凝聚力團隊及舉辦活動的必要技能。,：建立小規模團隊並與成員設計、主持團隊營造活動，可在國際演講會分會或其他場合舉行。任何非國際演講會活動必須先由分會教育副會長許可，並且有一位分會幹部出席。活動前，在分會例會發表一篇 2 ~ 3 分鐘的報告，分享您的計畫。活動後，再於分會發表一篇 5 ~ 7 分鐘的演講。,：,◎ 與小規模團隊合作，主持團隊營造活動,◎ 「團隊營造活動」資源,◎ 「團隊營造活動評估」資源,◎ 發表一篇 2 ~ 3 分鐘的報告,https://ckc300.neocities.org/E/8511-A.pdf,https://ckc300.neocities.org/E/8511-B.pdf,
高成效領導,本單元聚焦設計與完成具有定義清楚目標的專案、領導團隊執行專案，同時向指導委員會負責說明。,：本單元目的是運用您的領導力和計畫知識來制定專案計畫、組成指導委員會，並在團隊協助下執行計畫。,：與至少 3 名其他會員組成團隊，並選擇要完成的專案。 組成指導委員會，在專案期間至少進行 5 次會議。在分會例會上發表一篇 5 ~ 7 分鐘的演講，來介紹您的計畫與願景。執行計畫後，再於分會例會發表一篇 5 ~ 7 分鐘的演講，來分享您發展與完成計畫的經驗。,：,◎,◎,◎ 「指導委員會介紹」資源,◎ 「會議議程」資源,https://ckc300.neocities.org/E/8503-A.pdf,https://ckc300.neocities.org/E/8503-B.pdf,
建立您的願景,本單元聚焦為您的職場或個人生涯建立願景。,：本單元目的是為您的個人生涯、職場生活或組織團隊規劃一個細緻描繪的願景。,：在例會中以 5 ~ 7 分鐘的時間發表一篇演講來提出一個願景。運用本單元的相關資源，制定出實現計畫的時間表。在後續的例會中發表另一篇 5 ~ 7 分鐘的演講，陳述實現願景的計畫。繳交簽名過的「單元完成表」給教育副會長，表示您已完成單元中所有的相關資源。,：,◎ 建立願景並制定實現願景的計畫,◎ 點子藍圖工作表,◎ 目標設定工作表,◎ 目標任務清單,https://ckc300.neocities.org/E/8501-A.pdf,https://ckc300.neocities.org/E/8501-B.pdf,
為專業演講做好準備,本單元設計是要協助您定義出身為專業演講者的特質，並且將對這些特質的了解，落實在您身為演講者所擁有的技巧。,：本單元目的是練習撰寫並發表較長的演講。,：撰寫並發表一篇長約 18 ~ 22 分鐘的主題式演講。列舉說明身為專業演講者所要傳達的觀點和訊息。若適合您的演講內容與風格，可選擇利用視覺輔具強化演講效果。您的演講可以幽默風趣、提供資訊或是其他任何類型，只要您的演講風格跟演講內容相符合。,：,◎ 演講大綱工作表,◎ 發表一篇,,的,https://ckc300.neocities.org/E/8509.pdf,,
於志工組織領導,本單元聚焦領導志工組織的必要技巧，以及認可與獎勵對激勵志工的重要。,：本單元目的是應用必要技能，以成功領導志願者組織。,：在國際演講會或其他志工組織擔 任至少 6 個月的領導職務。您或許可在所處職場完成本單元，但最好是志工組織。請組織成員對您的領導技能進行 360° 評估。制定接班計畫，來協助您離職後的交接。6 個月期間結束後，在分會例會發表一篇 5 ~ 7 分鐘的演講來反思您的個人經驗。,：,◎,◎ 針對您的領導技能進行 360° 評估,◎,◎ 「接班計畫」資源,https://ckc300.neocities.org/E/8505.pdf,,
道德領導,本單元談論識別有能力左右道德之決策的影響、做出道德決策及提出道德框架等的重要性。,：本單元目的是要對您的道德框架建立明確的暸解，並提供機會讓他人瞭解並討論您的組織或社群中的道德標準。,：定義您個人的道德框架。為定義個人道德框架，除參考單元內容，您必須另行研究。接著組織並主持一場 20 ~ 40 分鐘、探討何為道德的小組專題討論並開放問答。若您從未主持過小組專題討論，請參閱選修單元「主持小組專題討論」。,：,◎ 「道德框架」資源,◎,,,https://ckc300.neocities.org/E/8502.pdf,,
學習心得,本單元聚焦找出大型團體會議中的討論要點、鼓勵主動貢獻並勇於提出意見的文化，並促進能夠帶來正面成果、有建設性的討論。,：本單元目的是學習在進行或專案完成後，於學習心得會議期間應用的必要技能。,：安排曾與您完成專案，或正一同完成專案的團隊成員，進行一場學習心得會議。 本會議與國際演講會例會分開舉行。組織並促進討論。將討論結果以書面記錄，供您的團隊成員在當前專案或未,：,◎,◎ 記錄學習心得會議內容與結果,◎ 「360° 評估」資源,◎,https://ckc300.neocities.org/E/8506.pdf,,
回顧學習歷程,本單元設計是要讓您有機會在即將完成學習途徑的時刻，分享您的所學與經驗。,：本單元目的是回顧您完成整個學習途徑這一路上的成長。,：在分會例會上，發表一篇 10 ~ 12 分鐘的演講，來,：,◎ 「您的國際演講會(Toastmasters學習)之旅」資源,◎ 發表一篇 10 ~ 12 分鐘的演講,,,https://ckc300.neocities.org/E/8510.pdf,,
主持小組專題討論,本單元談論成功主持小組專題討論的必須技巧，以及如何擔任一名有效能的專題小組成員。,：本單元目的是運用您身為公開演講者與領導者的技能，來順利進行並主持小組專題討論。,：規劃並主持一場 20 ~ 40 分鐘的小組專題討論。,：,◎,◎ 「專題小組成員基本注意事項」資源,◎ 單元完成表,,https://ckc300.neocities.org/E/8508.pdf,,
